" Телепрограмма «Марш-бросок» ООО «Телекомпания Воен-ТВ»","Программа о российской армии и флоте. "
" Радиопрограмма «Народы России» Филиал ФГУП ВГТРК ГРК «Радио России» ","Информационно-просветительская программа об этническом многообразии населения Российской Федерации, направленная на налаживание межнационального сотрудничества. Освещение этнической тематики проводится с точки зрения представителей национально-культурных автономий, этнографов, историков, этноконфликтологов, социологов, культурологов, музыковедов."
" Радиопрограмма «Адреса милосердия» Автономная некоммерческая организация «Студио – Диалог»","Ежедневная информационная радиопрограмма, направленная на популяризацию деятельности некоммерческих благотворительных и общественных организаций, оказывающих помощь населению."
" Радиопрограмма «Колобок и Два Жирафа» ООО «Мост-В»","Инсценированные сказки и другие классические литературные произведения для детей, образовательные и музыкальные программы, к созданию которых привлекаются лучшие артисты театра и кино, а также радиоспектакли по произведениям лауреатов конкурса «Алые паруса»"
" Радиопрограмма «Мастерская радиотеатра» ООО «Диадема»","Создание оригинальных радиоспектаклей ведущими радио- и театральными режиссерами. "
" Радиопрограмма «Россия всегда с тобой» ООО «Большое Радио» ","Совместный проект РГРК «Голос России» и МИД России. В прямом эфире ведущие российские политики, юристы, политологи, деятели культуры ведут диалог с аудиторией, отвечают на вопросы и найти юридические и политические пути их решения"
" Радиопрограмма «Причалы» ООО «Продюсерский центр «Профи»","Цикл программ, основные темы которого – самые заметные страницы русской цивилизации: явления, события, личности. "
" Информационно-аналитический сайт «Соотечественники»  www.russedina.ru Международный союз общественных объединений «Русь Единая»","Цель функционирования портала – содействие развитию сотрудничества Российской Федерации со странами СНГ и Прибалтики, межнациональному общению, решению проблем соотечественников за рубежом и переселенцев в России "
" Информационно-аналитический ресурс «Ваш личный Интернет»  www.content-filtering.ru ООО «Мега Версия» ","- освещение проблематики защиты пользователей Интернет от агрессивной информации - поддержание общественной дискуссии на тему защиты от агрессивного Интернет-контента и обеспечения права граждан на свободный доступ к информации -предоставление экспертами общественности информации об организации управления доступом к ресурсам Интернет"
" Справочно-информационный портал «Русский язык» («ГРАМОТА.РУ»)  www.gramota.ru ООО «Бюро социальных мультимедийных программ «Элекс-Альфа»","Всесторонняя популяризация знаний о русском языке. Внимание будет направлено не только на среднестатистических пользователей, но и на специалистов в области русского языка, учащихся и соотечественников, проживающих в странах ближнего и дальнего зарубежья. "
" Справочно-информационный портал «Религия и СМИ»  www.religare.ru АНО «Бюро по содействию средствам массовой информации в освещении религиозной жизни»","На страницах портала освещаются вопросы, касающиеся истории и современного состояния религии в России и в мире, государственно-конфессиональные отношения, актуальные вопросы религиозной науки, а также проблемы освещения религиозной тематики в СМИ."
" Интернет-сайт социальной информации  www.asi.org.ru . АНО «Агентство социальной информации»","Информация о конкретной практической деятельности некоммерческих организаций, деятельность которых направлена на решение социальных проблем, помощь нуждающимся, защиту прав и интересов граждан. "
" Интернет-журнал молодых писателей России «Пролог»  www.ijp.ru Фонд социально-экономических и интеллектуальных программ","Интернет-журнал знакомит аудиторию с разнообразием творчества молодых российских авторов разных литературных направлений. "
" Интернет-сайт «Медиакратия»  www.mediakratia.ru ООО ЮНИВЕР КОНСАЛТИНГ»","Сайт освещает деятельность Общероссийского информационно-образовательного проекта «Медиакратия» - постоянно действующей системы профессионального развития и повышения квалификации молодых журналистов"
" Интернет-журнал «В мире животных»  www.worldofanimals.ru ООО «Телерадиокомпания АСС-ТВ» ","Журнал освещает жизнь диких и домашних животных. "
" Интернет-портал «Русские СМИ»  www.russmi.ru ООО «Агентство политических и экономических коммуникаций «АПЭК»","Портал посвящен, с одной стороны, истории развития СМИ в России, с другой – представляет собой попытку изучить природу влияния общества на СМИ за последние три века истории. "
" Официальный веб-сайт Национальной премии за вклад в развитие российского Интернета «Премия Рунета»  www.PremiaRuneta.ru ООО «Студия дизайна АртСтайл» ","Интернет-представительство Национальной премии за вклад в развитие российского Интернета «Премия Рунета». -информация о премии, работе Экспертного совета и о проводимых мероприятиях. -информация по истории Интернета и его российского сегмента, по развитию IT-технологий, по вопросам правового регулирования в Интернете"
" Телевизионный художественный фильм «Артистка» ООО «Киностудия «Вертикаль»","История о судьбе не слишком успешной актрисы. В истории затрагивается вневременные, общечеловеческие ценности, такие, как любовь, дружба, преданность делу, самопожертвование. Героиня фильма - чистый и честный человек, несмотря на трудности и неустроенность собственной жизни, она отзывчива, обаятельна и легка. Эта история учит мудрости и терпению."
" Телевизионный художественный фильм «Встречная полоса» ООО «Кинопрограмма XXI век» ","Безопасность на дорогах глазами инспекторов ДПС, водителей, пешеходов, пассажиров городского транспорта. Это взгляд на дорогу с разных позиций. Это привлечение внимания к транспортным проблемам. Это попытка предупредить тех, кто еще не вдавил педаль газа до самого конца…"
" Цикл телевизионных роликов «Мы живем в России» ЗАО «Аэроплан»","Цикл анимационных информационно-просветительских роликов о регионах и народах России. "
" Документальный телесериал «Русские без России – 3» АНО «Дирекция президентских программ Российского Фонда Культуры»","Фильмы о судьбах русских эмигрантов, покинувших Россию после революции и Гражданской войны, их потомков, их жизни за пределами России и вкладе в российскую и мировую культуру. "
" Цикл телевизионных документальных фильмов «Одноэтажная Америка» ООО «АС» "," «Америка сегодня через призму прошлого» - оригинальный авторский метод, предложенный автором, поможет определить «опорные точки» - те ключевые факторы, которые сформировали «образ мыслей» современного американца о себе, своей стране, о мире за ее пределами. Автор предлагает «пойти по стопам» Ильфа и Петрова и повторить их путешествие, предпринятое в 1935 году, тем самым заново «открыть Америку» для себя и зрителей."
" Цикл телевизионных документальных фильмов «Однажды, много лет назад…» Международный фонд развития кино и телевидения для детей и юношества «Фонд Ролана Быкова»","Фильмы-интервью с известными людьми в разных областях культурной, общественной, политической жизни, отличившимися на поприще заботы о детях. Каждый из героев расскажет о памятном, до сих пор воздействующем эпизоде из детских лет (встрече, событии, впечатлении от прочитанного или увиденного и др.). "
" Цикл телевизионных документальных фильмов «Географическая видеоэнциклопедия» НО «Фонд этнографических исследований»","Серия документальных образовательных видеофильмов, посвященных современной этнографии, экономической, социальной и физической географии различных регионов России. Видеофильмы о регионах России позволят по-новому взглянуть на привычную географию РФ. Зрители получат представление о географическом разнообразии нашей страны, о многоплановости культур населяющих ее народов, глубже узнают географию, историю и культуру России. "
" Цикл социальных телевизионных и радиороликов «БлагоТворитель» ООО «КомИнтер Групп»","Цель проекта – создать мотивационную базу для благотворительности, инициировать в обществе позитивное восприятие темы милосердия и благотворительности, способствовать появлению среди широких масс населения стойкой «моды» на благотворительную деятельность; систематически реализовывать через рекламные носители конкретные адресные предложения для проявления благотворительности и милосердия"
" Цикл телевизионных документальных фильмов «Победные дни России» ФГУП «Единая телерадиовещательная система вооруженных сил Российской Федерации»","Цикл фильмов, посвященных «Победным дням России», установленным Государственной Думой ФС РФ в 2004 году. "
" Телепрограмма «Рыбалка с Радзишевским» ООО «Продюсерский центр «Апрель продакшн»","Авторская программа президента Федерации рыболовного спорта России Станислава Радзишевского о рыбалке "
" Телевизионный документальный сериал «Засадный полк» Филиал ФГУП ВГТРК ГТРК «Культура»","Авторский проект Льва Аннинского - продолжение циклов «Серебро и чернь» и «Медные трубы», в которых исследуется жизнь и творчество самых известных русских и советских поэтов "
" Телепрограмма «БлокНот» he he he j` 1ния в мире музыки академических жанров. Обзор разных музыкальных пластов – событий концертной и театральной жизни России и зарубежья, открытий и проблем в музыкальном мире, важнейших дат в репортажах, очерках, музыкальных портретах, аналитических заметках."
" Цикл телевизионных документальных фильмов «Крутые дороги Дмитрия Лихачева» Филиал ФГУП ВГТРК ГТРК «Культура»","Документальный сериал к 100-летию выдающегося ученого и общественного деятеля Д.С. Лихачева "
" Телевизионный документальный сериал «Русская книга» Филиал ФГУП ВГТРК ГТРК «Культура»","Что такое книга? Кто ее придумал? Кто и когда в России начал ее читать и кто – издавать? "
" Цикл телевизионных документальных фильмов «Истории из будущего» Филиал ФГУП ВГТРК ГТРК «Культура»","Научно-познавательный сериал о современной российской науке и высоких технологиях. Цель проекта – популяризация наиболее перспективных отечественных научных разработок, поддержка научных школ и направлений."
" Телепрограмма «В музей – без поводка» Филиал ФГУП ВГТРК ГТРК «Культура» ","Серия обучающих передач для детей младшего и среднего школьного возраста о русском изобразительном искусстве, его истории и жанрово-видовом разнообразии. В основе каждого выпуска –оригинальная пьеса, посвященная рассказу об одном из шедевров мировой живописи"
" Ток-шоу «Большие» Филиал ФГУП ВГТРК ГТРК «Культура»","Интерактивное ток-шоу для молодежи и о молодежи – дискуссионная программа, посвященная наиболее актуальным проблемам современной культуры и науки"
" Цикл телевизионных документальных фильмов «Империя Королёва» Филиал ФГУП ВГТРК ГТРК «Культура» ","Цикл фильмов о жизни и труде С.П. Королёва, о строго засекреченной стороне его деятельности, мощной военно-научной программе, а также – о королёвской команде, о тех конструкторах, которые росли и творили рядом с ним и которые потом становились руководителями огромных предприятий, лидерами новых направлений государства в государстве – Великой Королевской ракетно-космической империи."
" Цикл телевизионных документальных фильмов «Российская история глазами детей» Филиал ФГУП ВГТРК ГТРК «Культура»","Документальный сериал, основанный на воспоминаниях людей о своих детских годах. Фильмы о детях, чья только начавшаяся жизнь становится историей и судьбой страны. "
" Телепрограмма «Д. Шостакович. Квартет №8» Филиал ФГУП ВГТРК ГТРК «Культура»","Специальная студийная фондовая видеозапись одного из центральных камерных сочинений в музыке XX века, приуроченная к 200-летию Д.Д. Шостаковича. Д.Шостакович неоднократно подчеркивал, что посвятил это произведение самому себе и, в некотором роде, 8-й квартет – музыкальный автопортрет композитора с его личной звуковой монограммой"
" Телепрограмма «Обыкновенное чудо» ОАО «ТВ Центр»","Цикл программ об истории отечественного телевидения с послевоенного времени до наших дней. "
" Телевизионный документальный фильм «Нюрнберг. История в портретах» ОАО «ТВ Центр»","Фильм к 60-летию со дня окончания Нюрнбергского процесса. Задача фильма – изучив историю легендарного процесса прийти к выводам, важным для дня сегодняшнего."
" Телепрограмма «Спокойной ночи, малыши!» ФГУП ГТК «Телеканал «Россия» ","Развлекательная, воспитательная и развивающая программа, специально разработанная для детей-дошкольников. Её главная задача - помочь малышу познать окружающий мир, развить у детей творческие навыки и воображение."
" Цикл телевизионных документальных фильмов «Кинескоп с Петром Шепотинником» ФГУП ГТК «Телеканал «Россия» ","Фильмы о жизни и творчестве отечественных и зарубежных кинематографистов, о наиболее интересных событиях в мировом кино. "
" Телевизионный документальный фильм «Музыка в стране глухих» ФГУП ГТК «Телеканал «Россия» ","15 декабря 2005 года в Большом зале Московской консерватории прошел концерт-акция, в котором приняли музыканты-инвалиды - дети и взрослые. Фильм расскажет об акции и о некоторых из тех, кто в нем участвовал, а также об единственной в России музыкальной школе для слепых и слабовидящих детей и музыкальной школе для глухих в г.Ньюбери"
" Телевизионный документальный фильм «Тайны телевизионного двора» ФГУП ГТК «Телеканал «Россия» ","Фильм о главных событиях истории ТВ, людях, программах: начало информационного вещания, программа «Эстафета новостей», подготовка празднования 20-летия Победы, создание программы «Время»; люди, без которых невозможно представить современное телевидение: Ираклий Андроников, Владимир Ворошилов, Анна Шилова, Николай Дроздов; Александр Каверзнев – советский журналист-международник; история создания телевизионных сериалов; история создания ВГТРК"
" Телевизионная версия праздника телеканала «Спорт» «ПЛАНЕТА СПОРТА» НП «РОСМЕДИАКОМ»","Освещение праздника телеканала «Спорт» 13 мая 2006 года в Олимпийском комплексе «Лужники». "
" Телепрограмма «Главная дорога» ОАО «Телекомпания НТВ»","Программа о том, как необходимо вести себя и что необходимо сделать для повышения безопасности на дорогах страны. Информация о происходящем на дорогах страны – дорожно-транспортных происшествиях, изменениях в Правилах дорожного движения, строительстве новых магистралей, переправ, мостов и т.д.; анализ чрезвычайных ситуаций на дорогах; информация об автомобильных новинках."
" Телеверсия торжественной ежегодной церемонии награждения лауреатов V Всероссийского конкурса за лучшее и систематическое освещение в электронных и печатных средствах массовой информации темы патриотического воспитания граждан «Патриот России» ОАО «Национальная телевизионная компания «ЗВЕЗДА»","Телевизионная версия торжественной церемонии награждения лауреатов V Всероссийского конкурса на ежегодную премию за лучшее и систематическое освещение в электронных и печатных средствах массовой информации темы патриотического воспитания граждан «Патриот России». "
" Телепрограмма «О войне как о войне» ОАО «Национальная телевизионная компания «ЗВЕЗДА»","Авторская программа публициста Дмитрия Фоста – лауреата премии «Патриот России», историка, хранителя обширного архива документов о Великой Отечественной войне. "
" Телевизионный документальный фильм «Берестяные грамоты» ФГУП НГТРК «Славия» г.Великий Новгород ","Историко-познавательный фильм. Берестяные грамоты стали одной из археологических сенсаций XX века. Бытовая переписка русских людей, живших в 11-15 веках, изменила многие привычные представления историков."
" Радиопрограмма «Как курица лапой» Филиал ФГУП ВГТРК ГРК «Радио России»","Программа для детей от 8 лет. Занимательное путешествие по знаменитым художественным произведениям, сказкам, мифам и легендам. "
" Радиопрограмма «Когда папа был маленьким» Филиал ФГУП ВГТРК ГРК «Радио России»","Документальные рассказы кого-то из знаменитых или просто интересных людей о своем детстве; постановочные спектакли по книгам В.Голявкина, Вл.Крапивина, Л.Кассиля, А.Гайдара; радиоколлажи, содержащие и документальную, и художественную, и музыкальную страницы; рассказы детей и внуков о своих замечательных отцах."
" Радиопрограмма «Театральные легенды и были» Филиал ФГУП ВГТРК ГРК «Радио России»","Цикл программ к 250-летию учреждения государственного театра в России. Интересные страницы из истории двух театров – Петербургского академического театра драмы имени Пушкина («Александриинского») и Академического Малого театра – от второй половины 18 века до наших дней"
" Радиопрограмма «Вопрос ребром» ФГУП ГТРК «Культура» ","Открытая площадка, на которой сталкиваются точки зрения культурных ньюсмейкеров, эфирное пространство открытого высказывания представителей интеллигенции и культурного менеджмента."
" Радиопрограмма «Служба спасения Радио «Культура» ФГУП ГТРК «Культура»","Программа вводит в сферу общественного внимания самые острые проблемы охраны культурного наследия России, способствует спасению и восстановлению памятников культуры. "
" Радиопрограмма «Троицкое слово» ООО «Всемирное православное вещание радио «Радонеж»","Совместная программа с Троице-Сергиевой Лаврой и Московской духовной академией и семинарией, направленная на раскрытие духовных традиций и истории древнейшего монастыря России и одного из старейших учебных заведений Русской Православной Церкви."
" Радиопрограмма «Забытые классики» ООО «Бюро социальных мультимедийных программ «Элекс-Альфа»","Малоизвестные произведения русской художественной литературы первой трети XX века в исполнении выдающихся чтецов - популярных артистов московских театров и краткие рассказы о жизни и творчестве писателей, чьи произведения прозвучат в эфире. "
" Радиопрограмма «Музыкальное путешествие с Орфеем» ООО «О'РАНЖ» ","Дети узнают, как зародилась музыка; познакомятся с историей создания инструментов и с мастерами, их создавшими; услышат голоса инструментов разных стран и эпох: научатся разбираться в формах и жанрах музыкальных произведений; побывают в гостях у великих композиторов и исполнителей прошлого и настоящего."
" Радиопрограмма «Моцарт навсегда» ООО «ФОРТЕ»","Письма Моцарта, недавно опубликованные на русском языке, в исполнении В.Сухорукова и А.Гордона. "
" Радиопрограмма «Проспект Вернадского, дом 5» ООО «ФОРТЕ»","Музыкальной основой передачи является репертуар Государственного Академического детского музыкального театра им. Н.И. Сац – единственного в мире детского музыкального заведения подобного рода. "
" Интернет-сайт «Антирасизм.ру»  www.antirasizm.ru Некоммерческое партнерство «Бюро по правам человека» ","-публикация материалов о культуре и традициях народов России, принципах демократии, успешном опыте работы по преодолению проявлений ксенофобии и нетерпимости в обществе; -обсуждение наиболее острых вопросов и проблем межнационального общения, культуры проживания в многонациональной стране, а также проблем, связанных с правами человека и преодолением ксенофобии"
" Интернет-сайт «Олимпийская энциклопедия»  www.olympism.ru ФГУП РАМИ «РИА Новости»","Информационный Интернет-ресурс, освещающий историю олимпийского движения в России и мире. "
" Информационный Интернет-портал  www.infoblago.ru Некоммерческое партнерство «Ассоциация бизнес-коммуникаций»","Портал, посвященный проблемам благотворительности в России - информационная площадка Года Благотворительности в России. "
" Информационно-публицистический ресурс «Нет – наркотикам»  www.narkotiki.ru ООО «Бюро социальных мультимедийных программ «Элекс-Альфа»","Объективная и достоверная информация о современном состоянии дел в области профилактики наркомании, лечении наркозависимости и борьбы с незаконным оборотом наркотических веществ."
" Интернет-портал «Музеи России»  www.museum.ru АНО «Сеть Культурного Наследия»","Информация о российских музеях, галереях, выставочных залах, культурных центрах, парках, музейных объединениях и организациях. Портал основан в 1996 году."
" Интернет-сайт газеты «Мир печати»  www.mp.mgup.ru ООО «Проект «МЫ»","Сайт официального издания Московского государственного университета печати газеты «Мир печати». "
" Интернет-портал «Дополнительное образование в МГУП»  www.pge.mgup.ru ООО «Проект «МЫ»","Организационная, методическая и информационная поддержка слушателей семинаров, краткосрочных курсов, курсов профессиональной переподготовки специалистов полиграфической отрасли из регионов Российской Федерации. "
" Интернет-сайт «Заочное обучение в МГУП»  www.zaochnik.mgup.ru ООО «Проект «МЫ»","Организационная, методическая и информационная поддержка студентов-заочников, специалистов печатной отрасли, а также школьников и абитуриентов из регионов Российской Федерации"
" Официальный веб-сайт Российской ассоциации электронных коммуникаций (РАЭК)  www.RAECs.ru ООО «АртСтайл Медиа»","Официальный инфокоммуникационный инструмент РАЭК: сайт удовлетворяет потребности Интернет-общественности в информационном обеспечении, отображает тенденции развития ИКТ в России"
