"«ВЕСИ»","Г. Екатеринбург","«Лики времени»","Пропаганда идей, анализ достижений и осмысление жизни и творчества величайших людей прошлого"
"«Взгляд. Информация. Партнерство»","Г. Курск","1.»АПК – основа продовольственной безопасности России»
2. «Пластилин» - проект для молодёжи и руками молодёжи»","Информационное обеспечение Доктрины продовольственной безопасности Российской Федерации
Информационная поддержка мероприятий в рамках Года молодежи"
,,"3.»Духовное возрождение Курского края»","Сохранение культурно-нравственных ценностей российского народа"
"«Внешкольник. Дополнительное образование и социальное воспитание детей и молодежи»","Г. Москва","«Я научу тебя читать»","Приобщение подрастающего поколения к чтению"
"«Военные знания»","Г. Москва","«Готов к труду и защите Отечества»","Укрепление имиджа армии и флота"
"«Воинское братство»","Г. Москва","«Человек в погонах – вчера, сегодня, завтра»","Укрепление имиджа армии и флота"
"«Вопросы истории»","Г. Москва","«Активное противодействие фальсификации истории как актуальная задача российской исторической науки на современном этапе»","Воспитание патриотизма"
"«Вопросы литературы»","Г. Москва","«Литературное сегодня: искушение массовостью, лица современной литературы»","Поддержка литературного творчества"
"«Главная тема»","Г. Иркутск","«Добро без границ: Благотворительность и милосердие в условиях кризиса»","Возрождение института Благотворительности в России"
"«Детская Роман-газета»","Г. Москва","«России верные сыны»","Воспитание патриотизма, побуждение интереса к творчеству"
"«Детская школьная академия»","Г. Москва","«Растим гармоничного человека, активного гражданина»","Сохранение культурно-нравственных ценностей"
"«Детская энциклопедия»","Г. Москва","1.»Н.В.Гоголь, знакомый и незнакомый»","Воспитание патриотизма"
,,"2.»Славная страница истории России – битва под Полтавой»","Воспитание патриотизма"
,,"3.»Государственные символы России. История и современность»","Пропаганда государственных символов Российской Федерации"
,,"4. «Популярно о нанотехнологиях»","Информационное обеспечение инновационной деятельности в области науки техники"
"«Детский Дом»","Г. Москва","«Социализация детей-сирот при различных условиях воспитания: в учреждениях и в замещающих семьях»","Укрепление института семьи"
"«Детский юмористический журнал «Ералаш»","Г. Москва","«Учительская» в журнале «Ералаш»","Формирование позитивного образа учителя"
"«Дитя человеческое. Взрослым о детях»","Г. Москва","«Нет сиротству! Каждый ребенок-сирота должен воспитываться в семье»","Укрепление института семьи"
"«Домашняя энциклопедия для Вас»","Г. Москва","«Уроки российской Фемиды»","Защита законных прав граждан Российской Федерации"
"«Дружба народов»","Г. Москва","«Новое поколение писателей многонациональной России, Стран СНГ и Восточной Европы»","Укрепление духовного сотрудничества республик России, стран СНГ и Восточной Европы"
"«Женский взгляд»","Республика Бурятия, г. Улан-Удэ","«Дети – сила женщины, семьи»","Укрепление института семьи"
"«Живописная Россия»","Г. Москва","«Исчезающие усадьбы, их изучение и сохранение как особого типа культурных ландшафтов и туристических зон»","Информационная поддержка усилий по изучению русских усадьб и сбережения для будущего"
"«Журналист»","Г. Москва","«Кризис и СМИ»","Пропаганда положительного опыта выхода из кризиса"
"«Звезда»","Г. Санкт-Петербург","«Патриотизм как историческое и психологическое явление русской истории»","Воспитание патриотизма"
"«Здоровье алтайской семьи»","Алтайский край, г. Новоалтайск","«Школа ответственного родительства. Воспитай здоровым!»","Укрепление института семьи"
"«Здоровье школьника»","Г. Москва","1.Школа, дружественная к ребенку»","Внедрение здорового образа жизни"
,,"2.»Графический проект в форме комиксов «Дорога в космос»","Безопасность дорожного движения"
"«Здоровье»","Г. Москва","«Здоровье каждого – наш приоритет»","Укрепление здоровья нации"
"«Знамя»","Г. Москва","«Литературный журнал «Знамя» - фактор сохранения единого культурного пространства как необходимого компонента успешного преодоления экономического кризиса и его последствий»","Сохранение и развитие единства и многообразия культурного пространства"
"«Знание-сила»","Г. Москва","«Сохранение и развитие интеллектуального потенциала России: проблемы науки, научных школ, образования»","Повышение статуса интеллектуального труда"
"«Игра и дети»","Г. Москва","«Язык игры – язык дружбы»","Сохранение культурно-нравственных ценностей и укрепление духовного единства российского народа"
"«Инновации»","Г. Санкт-Петербург","«Инновационная культура – новая общественная ценность»","Информационная поддержка лучших практик инноваций"
"«Иностранная литература»","Г. Москва","Журнал «Иностранная литература» 2009 – школа профессионального мастерства молодых критиков и переводчиков»","Привлечение молодых специалистов как в области художественного перевода, так и в области истории современной художественной литературы за рубежом"
"«Искусство кино»","Г. Москва","«Инновационное развитие культуры, СМИ, кинематографа, поддержка молодых – в условиях экономического кризиса»","Информационное обеспечение инновационной деятельности в области развития культуры, СМИ и кинематографа"
"«Карелия»","Г. Петрозаводск","«Культура – основа духовности нации»","Поддержка и развитие литературного творчества"
"«Кече-Солнышко»","Г. Йошкар-Ола","«На крыльях вдохновения»","Пропаганда эстетического, художественного, музыкального и изобразительного творчества детей"
"«Кипиня»","Г. Петрозаводск","1. «Финно-угорский мир: говорим о себе»","Сохранение культурно-нравственных ценностей"
,,"2. «Детское творчество – будущее традиционной культуры Карелии»","Поддержка литературного творчества"
"«Клепа»","Г. Москва","1. «Чтение – лучшее учение»","Пропаганда «читающего образа жизни»"
,,"2. «Великая Россия: наши знаменитые соотечественники»","Единство общенационального сознания"
"«Коррекционная педагогика: теория и практика»","Г. Москва","«Помощь специалистам и родителям, воспитывающим детей с особыми образовательными потребностями»","Укрепление института семьи"
"«Костер»","Г. Санкт-Петербург","«Культурная среда детства»","Пропаганда «читающего образа жизни»"
"«Крылья. Журнал для подростков»","Г. Москва","«Молодежь – инновационный капитал новой России: содействие творческому, профессиональному и личному росту молодёжи через поддержку социально значимых молодёжных инициатив»","Информационная поддержка мероприятий в рамках Года молодежи"
"«Курские ведомости»","Г. Курск","«Антикризисная программа: правовой всеобуч – региональный аспект»","Защита законных прав граждан"
"«Лазурь»","Г. Москва","«Сохранение самобытности народов Российской Федерации, упрочнение дружбы и сотрудничества между ними – залог процветания нашей страны»","Развитие межнационального и межконфессионального общения."
"«Левша»","Г. Москва","«От модели – к звездам»","Поддержка и развитие научно-технического творчества"
"«Литературная газета»","Г. Москва","«Многоязыковая Лира России»","Поддержка литературного творчества"
"«Литературная учеба»","Г. Москва","«Многополярная литература и популярная критика»","Популяризация чтения интеллектуальной литературы"
"«Логопед в детском саду»","Г. Москва","«Своевременная логопедическая помощь – поддержка детей с ограниченными возможностями здоровья»","Укрепление здоровья нации"
"«Лэгъупыкъу»
(«Радуга»)","КЧР","«История России – история мужества»","Сохранение культурно-нравственных ценностей"
"«Мамонтенок»","Г. Москва","«Мне не все равно»","Укрепление института семьи"
"«Манилов»","Г. Санкт-Петербург","«Финансовая грамотность молодёжи»","Информационная поддержка мероприятий в рамках Года молодежи"
"«Марамыз» («Созвездие»)","Карачаево-Черкесская Республика, г. Черкесск","«Мой язык – моя душа, мой мир»","Воспитание любви к родному языку"
"«Меди@льманах»","Г. Москва","«Роль новых медиа в процессе демократизации и модернизации российского общества»","Разработка и популяризация принципов социально ответственных новых медиа"
"«Менеджер. Кино»","Г. Москва","«Молодёжь и киноэкран: нравственность, культура, воспитание»","Информационная поддержка мероприятий в рамках Года молодежи"
"«Мир Байкала»","Республика Бурятия, г. Улан-Удэ","«Мир Байкала» за чистую окружающую среду и против полиэтилена»","Привлечь внимание общественности к проблеме загрязнения побережья озера Байкал"
"«Мир коренных народов – Живая Арктика»","Г. Москва","«Молодой абориген»","Информационное содействие молодым аборигенам: защита прав, трудовая занятость и пр."
"«Мир музея»","Г. Москва","«Музеи – без барьеров»","Пропаганда опыта создания «безбарьерного» пространства (для нвалидов) в музеях России"
"«Миша»","Г. Москва","1. «Миша говорит по-русски»","Пропаганда «читающего образа жизни»"
,,"2. «Нескучные уроки истории»","Воспитание патриотизма"
"«Мой первый журнал по русской истории – Матушка»","Г. Москва","«Календарь»","Укрепление института семьи"
"«Москва»","Г. Москва","«Традиционная культура и вызовы глобализации»","Поддержка литературного творчества"
"«Моя Россия»","Г. Москва","«Славный год сей минул, но не пройдут содеянные в нем подвиги» (К 200-летию Отечественной войны 1812-го года)","Воспитание патриотизма, пропаганда памятных дат"
"«Мужской характер»","Г. Пятигорск","«Прочная семья – залог могущества России (Семейный ответ финансовому кризису)»","Укрепление института семьи"
"«Муравейник»","Г. Москва","«Заповедные места России: природа, культура, краеведение»","Формирование бережного отношения к природе"
"«Мурзилка»","Г. Москва","«Создание в семье престижа чтения»","Приобщение подрастающего поколения к чтению"
"«Мы»","Г. Москва","«Будущее России – молодежь, готовая нести ответственность за судьбу страны»","Информационная поддержка мероприятий в рамках Года молодежи"
"«Наука и жизнь»","Г. Москва","«Отечество. Страницы истории» (1812 год)","Воспитание патриотизма. Пропаганда памятных дат"
"«Нафаня»","Г. Курган","«Нафанино лукошко»","Поддержка и развитие изобразительного, народного и литературного творчества детей"
"«Наш семейный очаг»","Г. Хабаровск","«Опыт старших поколений – молодым»","Информационная поддержка мероприятий в рамках Года молодежи"
"«Наш современник»","Г. Москва","«Судьба Победы в памяти молодых. Патриотическое воспитание на примерах истории России»","Воспитание патриотизма"
"«Наше наследие»","Г. Москва","«Отечественное наследие в зеркале современной жизни»","Воспитание патриотизма"
"«Нева»","Г. Санкт-Петербург","«Молодая «Нева» -молодая эпоха – молодая Россия»","Воспитание патриотизма, актуализация ценности русской классической литературы в связи с памятными датами"
"«Невский альманах»","Г. Санкт-Петербург","«Год молодёжи в новой России. Творчество, образование, культура»","Информационная поддержка мероприятий в рамках Года молодежи"
"«Новое литературное обозрение»","Г. Москва","«Антропология Другого»","Поддержка литературного творчества"
"«Новый мир»","Г. Москва","«Новый мир литературы: за пределами двух столиц»","Преодолеть отрицательные аспекты влияния на культурную карту современной России сформировавшегося элитного круга, дать «новую кровь» российскому литературному и общекультурному процессу"
"«Няня»","Г. Москва","«Русская семья. На пороге перемен»","Укрепление института семьи"
"«Одон» («Звезда»)","Республика Бурятия, г. Улан-Удэ","«Я и моя семья – вместе в будущее»","Укрепление института семьи"
"«Октябрь»","Г. Москва","«Русская литература – гарант единства культурного пространства России»","Сбережение единого культурного пространства России, как основы дальнейшего духовного развития страны"
"«Ончыко»","Республика Марий Эл, г. Йошкар-Ола","«Уржа парча» («Я твой тонкий колосок»)","Информационная поддержка национального проекта по развитию сельского хозяйства"
"«Отечественные архивы»","Г. Москва","«Незабытые имена российской истории»","Воспитание патриотизма"
"«Первоклашка»","Г. Москва","«Алые паруса творчества в семье и школе»","Развить навыки литературного и художественного творчества, привить вкус к семейному чтению"
"«Петербургский театральный журнал»","Г. Санкт-Петербург","«Молодые делают театр»","Поддержка творчества
молодых"
"«Пионер»","Г. Москва","«Воспитание чувств»","Содействовать гражданскому взрослению подростков"
"«Полиграфия»","Г. Москва","«Современные технологии как фактор повышения эффективности работы
полиграфических предприятий в условиях кризиса»","Распространение информации о новой технике и технологиях в полиграфии"
"«Потенциал. Журнал для старшеклассников и учителей»","Г. Москва","«Загадочный мир»","Приобщение подрастающего поколения к чтению"
"«Православная беседа»","Г. Москва","«Традиции связующая нить»","Формирование целостного национально-духовного мировоззрения как основы построения гражданского общества"
"«Про книги. Журнал библиофила»","Г. Москва","«Развитие и пропаганда книжной культуры и чтения в семье и обществе»","Приобщение подрастающего поколения к чтению"
"«Путеводная звезда. Школьное чтение»","Г. Москва","«Книга – не только знания. Она воспитывает, формирует высоконравственную личность подростка»","Приобщение подрастающего поколения к чтению"
"«Радио»","Г. Москва","«2009 год – Год молодежи и 150-летия со дня рождения А.С. Попова»","Информационная поддержка мероприятий в рамках Года молодежи"
"«Родное Приамурье»","Г. Хабаровск","«Спасем «Тигровый дом!»","Формирование бережного отношения к природе"
"«Российский экслибрисный журнал»","Г. Москва","«Памятники книжной графики»","Приобщение подрастающего поколения к чтению"
"«Россия в глобальной политике»","Г. Москва","«Расстановка мировых сил после кризиса: возможности и вызовы для России»","Наметить стратегию устойчивого развития страны в условиях динамично меняющейся внешней среды"
"«Свирель»","Г. Москва","«Формирование бережного отношения к природе у школьников»","Побудить школьников к участию в охране природы"
"«Свирелька»","Г. Москва","«Формирование бережного отношения к природе у дошкольников»","Формирование бережного отношения к природе"
"«Сделай сам»","Г. Москва","«От домашнего ремесла – к рабочей профессии»","Восстановление общественной ценности базовых профессий: рабочего, инженера."
"«Сеанс»","Г. Санкт-Петербург","«Н.В. Гоголь в истории кино. Диалогические аспекты взаимоотношения поэтики гоголевского текста и языка кино»","Пропаганда памятных дат (200-летие со дня рождения Н.В. Гоголя)"
,,"«Дети дождя. Проблема детского аутизма России»","Популяризация идеи частной благотворительности"
"«Семейное чтение»","Г. Москва","«Привлекательный имидж чтения, или маленькие секреты для современных родителей по его продвижению»","Приобщение подрастающего поколения к чтению"
"«Слово Забайкалья»","Г. Чита","«Молодым дарованьям – поддержку и внимание!»","Поддержка литературного и изобразительного творчества молодых"
«Смена»,"Г. Москва","«России верные…»","Укрепление имиджа армии и флота"
"«Современная драматургия»","Г. Москва","1.»Молодые драматурги – Году молодёжи: новые герои, новый язык, традиционные ценности»","Информационная поддержка мероприятий в рамках Года молодежи"
,,"2.»Театр Антона Чехова: XXI век»","Пропаганда памятных дат: к 150-летию со дня рождения А.П.Чехова"
"«Современный детский сад»","Г. Москва","«Здоровый ребенок»","Укрепление здоровья и совершенствование физического развития детей"
"«Солдаты России»","Г. Москва","«Мы строим армию будущего»","Укрепление имиджа армии"
"«Спасайкин»","Г. Краснодар","«Навыки детского безопасного поведения на первом месте семейного мировоззрения»","Укрепление института семьи"
"«SPEAK OUT»","Г. Москва","«HOT ISSUES – год молодежи в России»","Информационная поддержка мероприятий в рамках Года молодежи"
"«Справочник классного руководителя»","Г. Москва","«Психолого-педагогическая помощь детям»","Укрепление института семьи"
"«Справочник руководителя дошкольного учреждения»","Г. Москва","«Здоровьесберегающий детский сад»","Укрепление здоровья подрастающего поколения"
"«Справочник руководителя образовательного учреждения»","Г. Москва","«Здоровьесберегающая школа»","Укрепление здоровья подрастающего поколения"
"«Студенчество»","Г. Москва","«Культура повседневности»","Повышение культуры поведения молодежи"
"«Студия Антре/Studio Entree»","Г. Москва","«Миссия искусства танца – воспитание здоровой, художественно образованной личности»","Поддержка музыкального творчества"
"«Тамаша»","Г. Уфа","«Народное творчество – душа России»","Пропаганда театрального, музыкального и изобразительного творчества"
"«Тара и упаковка»","Г. Москва","«Роль упаковки в обеспечении продовольственной безопасности, сохранении материальных ресурсов и охране окружающей среды»","Внедрение современных технологий переработки бытовых отходов, охрана окружающей среды"
"«Твой город детства»","Г. Красноярск","«Быть родителями: просто о сложном»","Укрепление института семьи"
"«Телецентр»","Г. Москва","«Информационная поддержка процессов обеспечения равного доступа граждан России к телевизионному продукту»","Защита законных прав граждан России"
"«Тулпар»","Республика Башкортостан, г. Уфа","«Здоровье семьи – здоровье нации»","Укрепление здоровья нации"
"«У книжной полки: журнал для библиотек»","Г. Москва","«Проблеме чтения для молодежи в условиях современного книжного рынка. Книги для молодежи - выбор журнала «У книжной полки: журнал для библиотек»","Приобщение подрастающего поколения к чтению"
"«Университетская книга»","Г. Москва","«Инновации и традиции – два полюса мира образования, науки и культуры»","Освещение актуальных проблем соотношения традиций и инноваций в области образования, науки и культуры"
"«Уральский следопыт uralstalker.ru»,
Уральский следопыт уральский путешественник","Г. Екатеринбург","«Заповедные земли родного края»","Формирование бережного отношения к природе"
"«Учитель»","Г. Москва","«Общероссийский общественный педагогический «Мастер-класс»: «Мой вклад в Национальную образовательную стратегию-инициативу «Наша новая школа»","Популяризация инновационных авторских технологий, методик обучения и воспитания детей и молодежи"
"«Цыгане России»","Г. Москва","«К решению проблем цыганского народа, развитию его культурных традиций»","Сохранение культурно-нравственных ценностей, развитие межнационального общения"
"«Чиж и Ёж»","Г. Санкт-Петербург","«Твой герой, живущий рядом»","Информационная поддержка мероприятий в рамках Года молодежи"
"«Читайка»","Г. Москва","«Воспитание талантливого читателя: творческое чтение – основа нравственного воспитания и гражданского становления личности ребенка средствами искусства слова»","Пропаганда «читающего образа жизни»"
"«Что читать. Обо всем на свете через книги»","Г. Москва","«Стимулирование чтения среди детей и молодежи (до 25 лет)»","Пропаганда «читающего образа жизни»"
"«Школьная библиотека»","Г. Москва","«Школьная библиотека – сердце школы: развитие качества мышления через творческое чтение – путь к инновационной России»","Восстановление общественной ценности базовой профессии библиотекаря"
"«Шонкар»","Г. Уфа","«Есть такая профессия – Родину защищать»","Укрепление имиджа армии"
"«Экология и жизнь»","Г. Москва","«Воспитание социальной ответственности на материале проблем особо охраняемых территорий в городах и заповедных зонах и информирование о возможностях решения этих проблем»","Формирование бережного отношения к природе, среде проживания и экологии"
"«Эко-Хроника»","Г. Санкт-Петербург","«Молодо – зелено: об экологии в год молодежи»","Бережное отношение к природе, охрана окружающей среды"
"«Эксперт-Урал»","Г. Екатеринбург","1.»Саммит Шанхайской организации сотрудничества (ШОС) и его влияние на развитие международных отношений экономики России и Урало-Западносибирского региона»","Укрепления сотрудничества участников глав-государств ШОС;"
,,"2. «Информационное обеспечение развития нанотехнологической отрасли  и инновационной деятельности предприятий Урало-Западносибирского региона»","Информационное обеспечение инновационной деятельности в области развития науки и техники"
"«Эскиз»","Г. Москва","«Искусство для всех»","Поддержка и развитие изобразительного творчества детей"
"«Этносфера»","Г. Москва","1.»Народы и культуры в зеркале России и мира»","Способствовать гармонизации межнациональных отношений, воспитанию толерантного сознания"
,,"2.»Русский мир»","Информационное обеспечение Государственной программы по оказанию содействия добровольному переселению в Российскую Федерацию соотечественников, проживающих за рубежом"
"«Эхо планеты»","Г. Москва","«Соотечественники»","Информационное обеспечение Государственной программы по оказанию содействия добровольному переселению в Российскую Федерацию соотечественников, проживающих за рубежом"
"«Южная Звезда»","Г. Ставрополь","«Патриотизм и многообразие культурно-нравственных ценностей в произведениях современных авторов как две грани основы единства общества»","Воспитание патриотизма, формирование позитивного отношения к многонациональности России"
"«Южный театральный вестник»","Г. Ростов-на-Дону","«Н.В. Гоголь. Юбилейное путешествие по России»","Патриотическое воспитание"
"«Юность»","Г. Москва","«Личность ХХ1 века. Поиск нового героя нашего времени»","Информационная поддержка мероприятий в рамках Года молодежи"
"«Юный краевед»","Г. Москва","«Мы – частица великой страны»","Воспитание патриотизма, поддержка детского изобразительного и публицистического творчества"
"«Юный техник»","Г. Москва","«За страницами учебника»","Восстановление общественной ценности базовых профессий: рабочего, инженера."
"«Юный художник»","Г. Москва","«Город дивный, город славный»","Патриотическое воспитание, 1150-летие Великого Новгорода"
"«Авангард»","Краснодарский край,
ст. Крыловская","1. «Мы чтим традиции отцов и дедов, мы готовы писать свою историю»
2. «Светофор: обучаем правилам безопасности на дорогах»","Патриотическое воспитание молодежи
Пропаганда безопасного движения на дорогах"
"«Авангард»","Саратовская обл., р.п. Духовницкое","«Аграрный сектор – локомотив экономики района»","Освещение хода реализации нац. проекта «Развитие АПК»"
"«Авангард» с приложением «Герд выжыос»","Удмуртская Республика, с. Вавож","«Село как зеркальное отражение жизни российских людей в условиях мирового кризиса»","Информационное обеспечение Доктрины продовольственной безопасности Российской Федерации"
"«Азна»","Республика Башкортостан, г. Уфа","«Боевое братство башкир и русских в Отечественной войне 1812 года»","Патриотическое воспитание граждан"
"«Алатырские вести»","Чувашская Республика,
г. Алатырь","«Обретенный дом»","Укрепление института семьи с детьми"
"«Анапское Черноморье»","Краснодарский край, г. Анапа","«Поддерживая молодежь, инвестируем будущее России»","Воспитание активной гражданской позиции у молодого поколения, повышение правовой грамотности молодых, освещение мероприятий в рамках Года молодежи"
"«Апельсинка»","Челябинская обл., Сосновский район, с. Долгодеревенское","1. «Безопасность дорожного движения»
2. «Звездные врата»","Обучение детей правилам дорожного движения
Патриотическое воспитание детей на примерах славной истории России"
"«Апшеронский рабочий»","Краснодарский край, г. Апшеронск","«Приоритеты апшеронцев: спорт, туризм, здоровый образ жизни»","Освещение проводимых в районе спортивных мероприятий, создание имиджа здоровой спортивной молодежи, популяризации активного отдыха, туризма"
"«Аргументы недели»","г. Москва","«Дорога домой»","Информационное обеспечение Государственной программы по оказанию содействия добровольному переселению в Российскую Федерацию соотечественников, проживающих за рубежом"
"«Армизонский вестник»","Тюменская обл.
с. Армизонское","«Национальные проекты – второе дыхание деревни»","Освещение хода реализации национальных проектов в Армизонском районе"
"«Аткарская газета»","Саратовская обл., г. Аткарск","1. «Экологическое равновесие: человек и природа»
2. «Многоликая Россия: диалог наций»","Формирование бережного отношения к природе
Укрепление межнациональных отношений"
"«Байкальские огни»","Республика Бурятия, с. Кабанск","«Южное Прибайкалье – земля межнационального согласия и этнического разнообразия»","Развитие межнационального и межконфессионального общения, сохранение самобытности народов РФ"
"«Башкортостан»","Республика Башкортостан, г. Уфа","«Дорогу осилит идущий» (Общество в условиях финансового кризиса)","Информационная поддержка антикризисных мер"
"«Без проблем. Закамье»","Республика Татарстан,
г. Чистополь","«Коррупции – нет!»","Борьба с коррупцией"
"«Бердэмлек» («Единство»)","г. Самара","«Свободным развитием народов – сильна Отчизна»","Сохранение культурно-нравственных ценностей и укрепление духовного единства российского народа"
"«Брюховецкие новости»","Краснодарский край,
ст. Брюховецкая","«Сталь и железо ржавеют, рабочая честь никогда»","Восстановление общественной ценности рабочих профессий"
"«Будни района»","Республика Дагестан,
с. Карабудахкент","«Противодействие терроризму и преступности – дело всего населения»","Борьба с терроризмом и национальной нетерпимостью"
"«Будь готов / Ямде лий»","Республика Марий Эл, г. Йошкар-Ола","«Мы – юное поколение современной России: наши гражданские позиции»","Сохранение культурно-нравственных ценностей и укрепление духовного единства российского народа"
"«Бумеранг»","г. Воронеж","«Природа не мастерская, а человек лишь гость. Не руби с плеча!»","Формирование бережного отношения к природе, экологическое воспитание молодежи"
"«Бурлинская газета»","Алтайский край, с. Бурла","1. «Живую природу спасет только живое участие»
2. «Крепкое село – здоровая и сытая Россия»","Формирование бережного отношения к природе
Освещение хода реализации нац. проекта «Развитие АПК» в Бурлинском районе"
"«В 24 часа»","Краснодарский край, г. Гулькевичи","«Стабильность против кризиса»","Информационное освещение антикризисных программ"
"«Вектор образования»","г. Челябинск","«Педагог-это звучит гордо!»","Формирование в общественном сознании позитивного образа учителя"
"«Велижская новь»","Смоленская обл., г. Велиж","1. «Молодое поколение выбирает…»
2. «Здоровье нации»","Поддержка молодежных инициатив и освещение мероприятий в рамках Года молодежи
Укрепление здоровья нации"
"«Версия Башкортостана»","Республика Башкортостан, г. Уфа","«Остаться человеком»","Защита законных прав граждан Российской Федерации и обеспечение действенности конституционных гарантий их реализации в условиях мирового финансово-экономического кризиса"
"«Вести Привопья»","Смоленская обл., г. Ярцево","1. «МИГ» (Молодежная Информационная Газета)»
2. «Престиж рабочей профессии»","Информационная поддержка молодежных проектов в Ярцевском районе в рамках Года молодежи в России
Восстановление общественной ценности рабочих профессий"
"«Вести Севера»","Забайкальский край,
с. Верх-Усугли","Выпуск тематической страницы «Тыргалча» «Наступление нового дня» с переводом на эвенкийский","Сохранение культуры и традиций коренных народов Сибири"
"«Вестник района»","Саратовская обл., р.п. Базарный Карабулак","«За здоровый образ жизни!»","Пропаганда здорового образа жизни"
"«Вечерний Первоуральск»","Свердловская область,
г. Первоуральск","1. «Антикризисная программа: борьба с безработицей – приоритетное направление»
2. «Город без мусора»","Информационная поддержка антикризисных мер, борьба с безработицей
Формирование бережного отношения к природе, экологическое воспитание молодежи"
"«Вечерний Северодвинск»","Архангельская обл.,
г. Северодвинск","«Задача прессы: поддержать социальный оптимизм граждан»","Информационная поддержка антикризисных мер, в том числе поддержка социально незащищенных категорий граждан"
"«Вечерний Томск»","Г. Томск","«Победим коррупцию вместе!»","Борьба с коррупцией"
"«Виенан Карьяла» (Беломорская Карелия)","Республика Карелия, г. Петрозаводск","«Возвращение к истокам. Традиции, культура, язык»","Сохранение истории, культуры и традиций коренных народов Карелии"
"«Власть Советов»","Краснодарский край, ст. Выселки","«Достойная молодежь – сильная Россия»","Освещение социально значимых мероприятий и программ, проводимых на территории Выселковского района"
"«Волга и Дон» (ВиД)","г. Волгоград","«Молодая энергия»","Поддержка молодежных инициатив и освещение мероприятий в рамках Года молодежи"
"«Воложка»","Саратовская обл., г. Маркс","«Героическое поколение»","Укрепление имиджа армии, повышение престижа военных специальностей, патриотическое воспитание детей и молодежи"
"«Волжская правда»","Республика Марий Эл, г. Волжск","«Экология среды – экологии совести»","Формирование бережного отношения к природе, экологическое воспитание молодежи"
"«Вольная Кубань»","г. Краснодар","«Как живешь, кубанская семья?!»","Укрепление института семьи с детьми"
"«Восход»","Краснодарский край, г. Абинск","«Время работает на молодых»","Информационная поддержка молодежных проектов в Абинском районе в рамках Года молодежи в России"
"«Восход»","Саратовская обл., р.п. Романовка","«Крепкая семья – благополучие общества»","Укрепление института семьи с детьми"
"«Вперед/Малалла»","Чувашская Республика, г. Шумерля","«Помнить, уважать, заботиться»","Защита законных прав социально незащищенных категорий граждан"
"«Вперед»","Краснодарский край,
ст. Кущевская","1. «Стратегия 20/20»
2. «Продбезопасность»","Информационная поддержка и ознакомление граждан со «Стратегией 20/20»
Освещение реализации Доктрины продовольственной безопасности РФ"
"«Вперед»","Челябинская область,
г. Троицк","«Проект для молодежи «Полный вперед!»","Информационное сопровождение мероприятий в рамках Года молодежи"
