,"Радиопрограмма «Адреса милосердия»
Автономная некоммерческая организация «Студио – Диалог»","Ежедневная информационная радиопрограмма, направленная на популяризацию деятельности некоммерческих благотворительных и общественных организаций, оказывающих помощь населению.
360 программ"
,"Радиопрограмма «Открытый урок»
ООО «ФОРТЕ»","Цикл программ-диалогов ведущего с детьми об известных композиторах.
В программе будут использованы записи произведений в исполнении известных музыкантов, а также исполнение музыкальных произведений детьми-участниками дискуссии в прямом эфире
12 программ
Хронометраж 55 мин."
,"Радиопрограмма «Говорим по-русски. Программа-игра»
ЗАО «Эхо Москвы»","Образовательная интерактивная программа-игра об особенностях, загадках и трудностях современного русского языка.
Ведущие (Марина Королева, Ольга Северская и Ксения Ларина) отвечают на вопросы, связанные с происхождением, написанием и правильным употреблением слов.
Слушателям, в свою очередь, также предлагается ответить на вопросы по русскому языку.
52 программы
Хронометраж 40 мин."
,"Радиопрограмма «Колобок и Два Жирафа»
ООО «Мост-В»","Инсценированные сказки и другие классические литературные произведения для детей, образовательные и музыкальные программы, к созданию которых привлекаются лучшие артисты театра и кино, а также радиоспектакли по произведениям лауреатов конкурса «Алые паруса»
52 программы
Хронометраж 14 мин."
,"Радиопрограмма «РГМЦ – прямой эфир»
ООО «ФОРТЕ»","Трансляция концертов, проводимых в Концертной студии на Малой Никитской,24
24 программы
Хронометраж 55 мин."
,"Радиопрограмма «Город 11-ти веков»
Филиал ФГУП ВГТРК ГТРК «Славия»
г. Великий Новгород","Интерактивный радиожурнал об истории, культуре и архитектуре Великого Новгорода:
-радиоэкскурсии к знаменитым памятникам
-эссе о знаковых фигурах новгородской истории
-комментарии историков и археологов о новгородских достопримечательностях
12 программ
Хронометраж 25 мин."
,"Радиопрограмма «Книжка на колесах»
Филиал ФГУП ВГТРК ГТРК «Бурятия»
г. Улан-Удэ","Программа для детей, направленная на пропаганду чтения
-радиоинсценировки по произведениям российских и бурятских писателей
-литературные викторины
-знакомство с работой лучших детских библиотек Бурятии
-акция «С миру по книжке» - сбор книг для детей-сирот
12 программ
Хронометраж 23 мин."
,"Интернет-сайт социальной информации
www.asi.org.ru.
АНО «Агентство социальной информации»","Информация о конкретной практической деятельности некоммерческих организаций, деятельность которых направлена на решение социальных проблем, помощь нуждающимся, защиту прав и интересов граждан."
,"Интернет-портал «Медиакратия»
www.mediacratia.ru
ООО «ЮНИВЕР КОНСАЛТИНГ»","Портал освещает деятельность Общероссийского информационно-образовательного проекта «Медиакратия» - постоянно действующей системы профессионального развития и повышения квалификации молодых журналистов"
,"Информационно-аналитический ресурс «Ваш личный Интернет»
www.content-filtering.ru
ООО «МегаВерсия»","- освещение проблематики защиты пользователей Интернет от агрессивной информации
- поддержание общественной дискуссии на тему защиты от агрессивного Интернет-контента и обеспечения права граждан на свободный доступ к информации
-предоставление экспертами общественности информации об организации управления доступом к ресурсам Интернет"
,"Интернет-портал «Mediajobs» (Медиаработа)
www.mediajobs.ru
ООО «ШТАТЫ.РУ»","Информационный портал о профессиональных и кадровых ресурсах медиа-индустрии с разделами аналитики по вопросам рынка труда и профессиональных ресурсов отрасли, профессиональной подготовки и повышения квалификации сотрудников, централизованным банком резюме специалистов и менеджеров медиа-компаний"
,"Интернет-сайт «Живое слово»
www.zhivoeslovo.ru
НОУ «Российский центр подготовки работников региональных телевизионных компаний «Практика»
г. Нижний Новгород","Информационно-образовательный сайт адресован профессиональному сообществу журналистов и направлен на сохранение и развитие живого грамотного языка в средствах массовой информации.
Интернет-представительство международного мультимедийного фестиваля «Живое слово»"
,"Интернет-журнал «Вестник медиа образования»
www.media-edu.ru
ООО «Телекомпания «ТВ календарь»","Информация как для студентов и аспирантов, изучающих экранные искусства, средства массовых коммуникаций, цифровые технологии, так и для широкого круга читателей, интересующихся проблемами медиаиндустрии"
,"Справочно-информационный портал «Русский язык» («ГРАМОТА.РУ»)
www. gramota.ru
ООО «Бюро социальных мультимедийных программ «Элекс-Альфа»","Всесторонняя популяризация знаний о русском языке.
Внимание будет направлено не только на среднестатистических пользователей, но и на специалистов в области русского языка, учащихся и соотечественников, проживающих в странах ближнего и дальнего зарубежья.
Наряду с интенсификацией существующих сервисов предполагается дополнить портал новыми словарями, расширить элементы дистанционного обучения."
,"Информационно-публицистический ресурс «Нет – наркотикам»
www. narkotiki.ru
ООО «Бюро социальных мультимедийных программ «Элекс-Альфа»","Объективная и достоверная информация о современном состоянии дел в области профилактики наркомании, лечении наркозависимости и борьбы с незаконным оборотом наркотических веществ."
,"Справочно-информационный портал «Религия и СМИ»
www. religare.ru
АНО «Бюро по содействию средствам массовой информации в освещении религиозной жизни»","На страницах портала освещаются вопросы, касающиеся истории и современного состояния религии в России и в мире, государственно-конфессиональные отношения, актуальные вопросы религиозной науки, а также проблемы освещения религиозной тематики в СМИ."
,"Интернет-портал «Чтение-21»
www.chtenie-21.ru
www.chtenie-21.org
Некоммерческий фонд поддержки книгоиздания, образования и новых информационных технологий «Пушкинская библиотека»","Информационно-образовательный портал призван помочь профессионалам книжного дела в разработке программ и акций по продвижению чтения."
,"Интернет-журнал «Музыка для всех»
www.musicforall.ru
Региональная общественная организация «Русское музыкальное просветительское общество»","Журнал о музыке.
Информация о различных музыкальных стилях, жанрах и направлениях, об истории их возникновения и современном развитии, о композиторах и исполнителях, их творческом пути.
Для детей младшего возраста создан специальный раздел - «Нотка»"
,"Интернет-сайт «Седмица.ru»
www.sedmitza.ru
Православная религиозная организация Церковно-научный центр «Православная энциклопедия»","Информационно-аналитический сайт, на котором представлены новости религиозной жизни в России и за ее пределами; новостная лента, посвященная деятельности Предстоятеля Русской Православной Церкви Святейшего патриарха Алексия II; справочная информация о епархиях, правящих архиереях, отделах и учреждениях Русской Православной Церкви"
,"Интернет-сайт журнала «Мурзилка»
www.murzilka.org
ЗАО «Редакция журнала «Мурзилка»","Познавательно-развлекательный сайт для детей 6-12 лет. Здесь ребенок может познакомиться с историей журнала и его героя - Мурзилки, узнать свежие новости издания, прочитать материалы последних выпусков, принять участие в голосовании, оставить свои комментарии"
,"Интернет-портал «ПРО КНИГИ. Журнал библиофила»
www.aboutbooks.ru
ООО «ИнтегроСофт»","Информирование специалистов и широкой общественности о новостях в области книжной культуры и книгоиздательства, обсуждения актуальных вопросов развития библиотек и библиотечного дела в России, популяризации чтения."
,"Интернет-портал «Техника-молодежи»
www.technicamolodezhi.ru
ЗАО Редакция журнала «Техника-молодежи»","Научно-популярный, инновационно-изобретательский портал для творческой научно-технической молодежи
- электронная версия журнала «Техника-молодежи»
- архив журнала (перевод в электронный вид всех выпусков журнала с 1933 г.);
- сокращенная англоязычная версия журнала;
- публикация статей, не вошедших в печатную версию журнала;
- форум для изобретателей, умельцев, научных работников"
,"Интернет-сайт «ТАСС-ИНТЕРНЕТ»
graphics.itar-tass.com
ФГУП «Информационное телеграфное агентство России (ИТАР-ТАСС)»","Ознакомление российской и зарубежной общественности через графическое отображение с существом и реализацией национальных проектов в области здравоохранения, образования, развития агропромышленного комплекса, с социально направленными решениями государства"
,"Интернет-сайт «Трезвая политика»
www.netalko.ru
ООО «Пропаганда»","Информационно-аналитический ресурс, предоставляющий объективную и достоверную информацию о современном состоянии дел в области профилактики пьянства и алкоголизма, его лечения и борьбы с негативными социальными последствиями чрезмерного употребления алкоголя"
,"Интернет-портал Гильдии издателей периодической печати (ГИПП)
www.gipp.ru
НП «Гильдия издателей периодической печати»","Создание в рамках отраслевого портала Гильдии издателей периодической печати раздела, рассчитанного на молодых читателей и призванного помочь сориентироваться в современном ассортименте прессы и вовлечь молодежь в чтение прессы, с упором на издания познавательной, развивающей направленности"
,"Корпоративный портал Национальной ассоциации телерадиовещателей www.nat.ru
Национальная ассоциация телерадиовещателей (некоммерческая организация)","Официальный портал Национальной ассоциации телерадиовещаетелй"
,"Телепрограмма «Умницы и умники»
ООО «Студия Юрия Вяземского «Образ-ТВ»","Гуманитарная олимпиада для старшеклассников.
Соревнования проходят по следующим областям: история, география, литература, право, культура и русский язык
Семь победителей телемарафона становятся без экзаменов студентами МГИМО.
37 программ:
36 программ по 39 мин.
1 программа – 60 мин."
,"Телепрограмма «Истории из будущего»
ООО «Телерадиокомпания АСС-ТВ» (научно-популярное и просветительское телевидение)","Цикл научно-публицистических программ посвящен передовым достижениям российских исследователей в области фундаментальной науки и высоких технологий.
17 программ
Хронометраж 26 мин."
,"Телевизионные ролики социальной рекламы «Найди меня, мама!»
АНО «Агентство социальной информации»","Социальные ролики в рамках информационной кампании в СМИ по семейному устройству детей-сирот «Наши дети».
Информирование населения о ситуации с сиротами и о возможностях, которые есть у граждан, желающих принять участие в судьбах детей, оставшихся без попечения родителей.
3 ролика
Хронометраж каждого ролика – 30, 15, 5 сек."
,"Телепрограмма «Летопись спорта»
ЗАО «Телестарт»","Анализ значительных спортивных событий и достижений в неразрывной связи с жизнью страны и мира, с общественно-политической обстановкой, в которой происходили спортивные события.
Каждая программа будет охватывать события одного года или определенного исторического периода
52 программы
Хронометраж 26 мин."
,"Телепрограмма «Формула власти»
ФГУП «Информационное телеграфное агентство России (ИТАР-ТАСС)»","В программе затрагиваются основополагающие аспекты внешней политики России и двусторонних отношений с зарубежными странами.
24 программы
Хронометраж 26 мин."
,"Скрытое субтитрование телевизионных программ для инвалидов с нарушением слуха
ООО «СУБТИТР»","Осуществление скрытого субтитрования социально значимых телевизионных программ и документальных фильмов образовательного, просветительского и культурологического характера, мультфильмов для детей отечественного производства, фильмов классиков советского и российского кино для инвалидов с нарушением слуха в объеме 1400 часов в эфире «Первого канала»."
,"Юбилей героев телепрограммы «Спокойной ночи, малыши!». Телевизионная версия
ООО «ТРК КЛАСС!»","Телевизионная версия празднования 45-летнего юбилея героев программы «Спокойной ночи, малыши!»
Хронометраж 90 минут"
,"Телевизионный художественный фильм «Рябиновый вальс»
ООО «ТМ-Фильм»","Телевизионный художественный фильм об уникальном подвиге отряда разминеров, куда входили в основном подростки, и которые во время Великой Отечественной войны обезвреживали от мин территорию Ошты (Вытегорский район Вологодской области)
1 серия
Хронометраж 112 мин."
,"Телепрограмма «От всей души»
ЗАО «АТВ Продакшн»","История легендарных предприятий, ВУЗов, заводов открывается зрителям через истории отдельных людей
Современный вариант популярной в советские годы программы
3 программы
Хронометраж 1 час 30 мин."
,"Телепрограмма «Кому на Руси жить хорошо…»","Реальные истории о людях, сумевших добиться, состояться и понять. Понять, в чем собственное счастье. Состояться в любимом деле. Преодолеть препятствия, стоящие на пути к поставленной цели. Именно это делает их главными героями. И совсем неважно, насколько они известны… Важно, что они знают точный ответ на вопрос: «Кому на Руси жить хорошо?»
22 программы
Хронометраж 26 мин."
,"Документальный телефильм «Дом, распахнутый во двор»
ООО Продюсерская компания «Новые телевизионные сезоны»","Фильм посвящен теме сохранения семейных ценностей, укреплению престижа и авторитета семьи.
Фильм вернет нас в атмосферу начала 60-х, когда городские дворы в большинстве своем были продолжением квартир. Добрососедские отношения, которые, казалось бы, касаются только нескольких семей одного двора…
1 фильм
Хронометраж 26 мин."
,"Телевизионный документальный фильм «Нежный жанр»
НО «Фонд этногеографических исследований»","Фильм портрет о художнике-самоучке, забайкальском старовере Поликарпе Судомойкине.
1 фильм
Хронометраж 39 мин."
,"Ток-шоу «Линия жизни»
Филиал ФГУП ВГТРК ГТРК «Культура»","Ток-шоу с участием известных актеров, режиссеров, писателей и других деятелей отечественной культуры.
В новом сезоне – В. Гергиев, Ю.Мориц, В.Зельдин, В.Крайнев, А.Бородин, В.Лановой, А.Кушнер, А.Фрейндлих
8 программ
Хронометраж 52 мин."
,"Телевизионный документальный фильм «Душа Гоголя»
Филиал ФГУП ВГТРК ГТРК «Культура»","Документальный сериал к 200-летию со дня рождения Н.В. Гоголя.
Цель фильма - показать путь духовных исканий этого незаурядного человека современными средствами кино- видеопроизводства
2 серии
Хронометраж 39 мин."
,"Телепрограмма «Михаил Чехов. Путь актера»
Филиал ФГУП ВГТРК ГТРК «Культура»","Исследование жизни, творческого опыта и наследия актера Михаила Чехова
Авторский проект Анатолия Смелянского
4 программы
Хронометраж 26 мин."
,"Цикл телевизионных документальных фильмов «Звездное небо мышления»
Филиал ФГУП ВГТРК ГТРК «Культура»","Цикл фильмов о всемирно известном учёном, профессоре кафедры общего языкознания филологического факультета Санкт-петербургского государственного университета Т.В. Черниговской. Вместе со своими коллегами она размышляет о тайнах и загадках, скрытых в современных исследованиях процессов мышления человека и работы мозга
4 фильма
Хронометраж 26 мин."
,"Телевизионный документальный сериал «В поисках Толстого»
Филиал ФГУП ВГТРК ГТРК «Культура»","Исследование жизненного и духовного пути Л.Н. Толстого.
В четырех сериях будут развиты сюжеты, каждый из которых рождается на основе определенных биографических фактов, как правило мало известных.
Последняя большая работа, по сути, предсмертное завещание писателя, книга «Путь жизни» послужила основным импульсом для определения жанров фильмов – исследование и поиск правды:
4 фильма
Хронометраж 26 мин."
,"Телевизионный документальный фильм «В. Пудовкин. У времени в плену»
Филиал ФГУП ВГТРК ГТРК «Культура»","Фильм-исследование творчества кинорежиссера В.И. Пудовкина, одного из первых теоретиков кино, автора книг по кинорежиссуре, проблемам сценарного мастерства. Он был творцом поэтического, монтажного кинематографа – именно в этом и заключается его новаторство. В его фильмах свободно сочетаются традиции русской литературы и театра
1 фильм
Хронометраж 39 мин."
,"Цикл телевизионных документальных фильмов «Великие театры мира»
Филиал ФГУП ВГТРК ГТРК «Культура»","История и современная жизнь самых известных мировых театров.
Фильмы – попытка проследить взаимовлияние разных театральных культур, понять, как развивалось театральное искусство Европы.
8 фильмов
Хронометраж 26 мин."
,"Цикл телевизионных документальных фильмов «Мировые оперные театры»
Филиал ФГУП ВГТРК ГТРК «Культура»","Телевизионный документальный сериал о Венской и Берлинской опере, театрах Ковент-Гарден и Ла Скала.
4 фильма
Хронометраж 52 мин."
,"Телевизионный документальный фильм «Эрнст Неизвестный: «Моя свобода – одиночество»
Филиал ФГУП ВГТРК ГТК «Телеканал «Россия»","В фильме исследуется личность и судьба Эрнста Неизвестного – одной из тех фигур, которые символизируют собой ушедший двадцатый век. Он один из последних могикан, даже не уходящей, уже ушедшей когорты гигантов – Шостакович, Рихтер, Мамардашвили, Ландау, Ростропович, Бродский, а их живущих ныне Любимов, Плисецкая, которые своим искусством и интеллектом потрясли Россию и мир. Все они были личными друзьями Эрнста Неизвестного и их творческие и дружеские связи будут прослежены в фильме.
Много будет рассказано об эмиграции, которая выглядит как очередная победа, прорыв на Запад и завоевание западной публики.
1 фильм
Хронометраж 44 мин."
,"Телевизионный документальный фильм «Ансамбль имени Александрова»
Филиал ФГУП ВГТРК ГТК «Телеканал «Россия»","Фильм об Ансамбле песни и пляски Советской Армии имени Александрова.
В фильме ансамбль будет живым существом, со своими драматическими, порою даже трагическими историями.
Одним из драматургических ходов станет рассказ через песню об ансамбле.
Как, при каких обстоятельствах рождались песни, которые потом назовут великими.
Прозвучат несколько реальных историй, когда дипломатические кризисы улаживали военные артисты
1 фильм
Хронометраж 44 мин."
,"Телевизионный документальный фильм «Антонова. Мемуары»
Филиал ФГУП ВГТРК ГТК «Телеканал «Россия»","Фильм о директоре Пушкинского музея Ирине Александровне Антоновой.
Фильм будет снят в жанре видеомемуаров. Ирина Антонова будет сама рассказывать о себе, о своей жизни, о музее, которому отдала всю свою жизнь.
Важное место в фильме займут размышления Ирины Александровны о жизни, о стране, о том, во что она верит.
1 фильм
Хронометраж 44 мин."
,"Телепрограмма «Зарядка с чемпионом»
Филиал ФГУП ВГТРК ГТК «Телеканал «Россия»","Ведущий программы – Сергей Белоголовцев, а также приглашенный известный спортсмен (чемпион мира, Европы или олимпийских игр) показывают ребятам в студии (а это – несколько мальчишек и девчонок в возрасте от 7 до 12 лет) и всем телезрителям, разнообразные упражнения. Каждый приглашенный «чемпион» демонстрирует упражнения, характерные именно для его вида спорта.
Сам комплекс упражнений включает разминочную часть, основную, а также упражнения на восстановление дыхания и растяжку. Все упражнения одобрены спортивными специалистами и достаточно просты для выполнения.
60 программ
Хронометраж 13 мин."
,"Телепрограмма «В гостях у Минутки»
ЗАО «Межгосударственная телерадиокомпания «Мир»","Детская развлекательно-познавательная программа для школьников младшего и среднего возраста. В сказочный домик к гостеприимной Минутке приходят известные люди, посвятившие свое творчество детям, юные актеры, музыканты, спортсмены.
52 программы
Хронометраж 13 мин."
,"Телепрограмма «Тик-так»
ЗАО «Межгосударственная телерадиокомпания «Мир»","Детская познавательная программа для дошкольников.
Ведущие программы – фея времени Минутка и тростевые куклы мышка Иришка, лиса Елизавета Патрикеевна, хомяк Хома и тетушка Сова в простой доходчивой форме рассказывают детям о самых интересных явлениях и предметах. Каждая программа состоит из двух частей: образовательной и мультфильма на заданную тему.
260 программ
Хронометраж 13 мин."
,"Телепрограмма «Знаем русский»
ЗАО «Межгосударственная телерадиокомпания «Мир»","Программа-игра о русском языке.
Цель – повышение культуры речи и уровня знаний в области русского языка населения Российской Федерации и стран СНГ
52 программы
Хронометраж 52 мин."
,"Телепрограмма «Я гражданин Российской Федерации»
ОАО «ТВ Центр»","Что такое «быть русским» или «быть армянином»? Что такое «быть евреем?» Почему человек гордиться своей национальностью? Почему хранит бабушкины письма? Почему он называет себя немцем, если знает всего несколько немецких слов? Почему гордится своей принадлежностью к россиянам?
8 программ
Хронометраж 39 мин."
,"Телепрограмма «Фактор жизни»
ОАО «ТВ Центр»","Программа посвящена проблемам инвалидов и призвана информировать об основных положениях Федеральной и городской целевой программ о социальной интеграции инвалидов и других лиц с ограничениями жизнедеятельности
35 программ
Хронометраж 26 мин."
,"Телепрограмма «Гражданская война: забытые сражения»
ОАО «ТВ Центр»","Многие проблемы, с которыми на протяжении XX века сталкивалась наша страна, - территориальные, политические, экономические, моральные, - были порождены пролитой в Гражданской войне кровью. Семена многих конфликтов были посеяны именно тогда.
Наступает время взвешенных оценок, пора преодолеть бесплодные споры «за» и «против» красных и белых. Многие ключевые события войны все еще требуют анализа, осмысления и понимания
18 программ
Хронометраж 39 мин."
,"Телепрограмма «Будильник»
ОАО «Телерадиокомпания СКАТ»
г.Самара","Программа предназначена школьникам и предполагает выход информации о наиболее ярких эпизодах из жизни школ, о событиях, происходящих в области, так или иначе связанных с детьми.
11 программ
Хронометраж 20 мин."
,"Телепрограмма «Лабиринт»
ООО «ЭФИР»
г.Казань","Молодежная программа, пропагандирующая здоровый образ жизни, жизнь без наркотиков.
Проект освещает деятельность специализированных центров помощи подростку.
53 программы
Хронометраж 26 мин."
,"Телепрограмма «Старое фото»
НОУ «Российский центр подготовки работников региональных телевизионных компаний «Практика»
г. Нижний Новгород","Рассказы о старшем поколении - бабушках и дедушках – устами их внуков.
Программы будут сниматься в семи федеральных округах РФ региональными компаниями, отобранными на основе творческого конкурса.
28 программ
Хронометраж 4 мин. 45 сек."
,"Телевизионный документальный фильм «Сокровища Великого Новгорода»
АНО «Новгородское областное телевидение»
г.Великий Новгород","Телеэнциклопедия новгородского искусства
4 серии:
«Храмы»
«Фрески»
«Иконопись»
«Ювелирное искусство»
4 серии
Хронометраж 26 мин."
,"Цикл телевизионных документальных фильмов «По обычаю предков»
ООО «Компания «Регион-Фильм»
г.Воронеж","Цикл культурно-познавательных фильмов о национальных праздниках и обрядах народов.
6 фильмов
Хронометраж 26 мин."
,"Телепрограмма «Жить вместе»
ОАО «Общественная радиотелевизионная компания «Нальчик»
г.Нальчик","Проект направлен на формирование установок толерантного сознания и профилактику экстремизма, раскрывает наиболее острые проблемы мирного сосуществования и предотвращения межнациональных конфликтов в условиях северокавказской многонациональной республики
12 программ
Хронометраж 25 мин."
,"Телепрограмма «Где ты, мама?»
ООО «Телемир»
г.Саратов","Проект посвящен проблеме семейного устройства детей-сирот, оставшихся без попечения родителей.
Цель проекта – помочь детям, оставшимся без попечения родителей, найти семью, а потенциальным родителям рассказать о путях усыновления или опеки
8 программ
Хронометраж 10 мин."
,"Телепрограмма «Тормошилки»
ООО «Телемир»
г.Саратов","Телепрограмма для детей, совмещающая развлекательные и познавательные аспекты.
Юные зрители учатся рисовать, читать, считать, мастерить, знакомятся с правилами поведения, правилами дорожного движения, демонстрируют свои успехи в спорте
48 программ
Хронометраж 15 мин."
,"Телепрограмма «Твой путь»
ООО «Рекламно-информационное агентство «СЕМЬ»
г.Астрахань","Программа для молодежи задумана как зеркальное отражение самой жизни, без искажений, без вмешательства «взрослых». Она отразит истинные взгляды не только молодого поколения в целом, но и каждого в отдельности, покажет индивидуальность, яркость и самобытность характеров.
48 программ
Хронометраж 15 мин."
,"Телепрограмма «Астраханская губернская библиотека»
ООО «Астраханская областная телерадиовещательная компания»
г.Астрахань","Программы, связанные с 450-летним юбилеем города Астрахани, посвящены издательскому проекту, старт которого приурочен к юбилею
презентации новых книг и встречи с авторами,
рассказы об исторических местах, событиях, легших в основу книг, авторах, героях
12 программ
Хронометраж 25 мин."
